state_name,state_vtr19,literacy_pct,,,
Andhra Pradesh,80.2227,66.9,,,correlation coefficient
Arunachal Pradesh,81.15,66.95,,,0.13941264
Assam,81.5692,85.9,,,
Bihar,57.2996,70.9,,,
Goa,75.0984,87.4,,,
Gujarat,64.4085,82.4,,,
Haryana,70.2305,80.4,,,
Himachal Pradesh,72.2443,86.6,,,
Jammu & Kashmir,44.842,77.3,,,
Karnataka,68.7719,77.2,,,
Kerala,77.7918,96.2,,,
Madhya Pradesh,71.1633,73.7,,,
Maharashtra,60.9564,84.8,,,
Manipur,82.5352,79.85,,,
Meghalaya,71.4035,75.48,,,
Mizoram,63.0465,91.58,,,
Nagaland,82.9112,80.11,,,
Odisha,73.2177,77.3,,,
Punjab,65.8864,83.7,,,
Rajasthan,66.266,69.7,,,
Sikkim,81.0236,82.2,,,
Tamil Nadu,72.3917,82.9,,,
Tripura,82.3482,87.75,,,
Uttar Pradesh,59.1793,73,,,
West Bengal,81.7228,80.5,,,
Chhattisgarh,71.593,77.3,,,
Jharkhand,66.78,74.3,,,
Uttarakhand,61.6437,87.6,,,
Telangana,62.7525,72.8,,,
Andaman & Nicobar Islands,65.091,86.27,,,
Chandigarh,70.5965,86.43,,,
Dadra & Nagar Haveli,79.584,77.65,,,
Daman & Diu,71.849,87.07,,,
NCT OF Delhi,60.5753,88.7,,,
Lakshadweep,85.1782,92.28,,,
Puducherry,81.2361,86.55,,,
