State_UT,GSDP_INR_mln
Maharashtra,31080218.7
Tamil Nadu,20712861.6
Gujarat,19770664.6
Uttar Pradesh,19745315.5
Karnataka,19627254.2
West Bengal,13639258.6
Rajasthan,12181934.5
Madhya Pradesh,11361371.9
Andhra Pradesh,11338365
Telangana,11289072.4
Kerala,9324699.6
Delhi,9046420.4
Haryana,8706645.3
Odisha,6708812.3
Bihar,6503024.3
Punjab,6142267.6
Assam,4126118.7
Chhattisgarh,4064158.2
Jharkhand,3588625.9
Uttarakhand,2721594.8
Jammu and Kashmir,1999174.2
Himachal Pradesh,1762694.7
Goa,826037
Tripura,625504.4
Chandigarh,456352.6
Puducherry,442378.6
Meghalaya,387847
Sikkim,375574
Manipur,365944.7
Arunachal Pradesh,351235.4
Nagaland,319125.4
Mizoram,278235
Andaman and Nicobar Islands,103705.2
